LGA,Year,Income
ALBANY,2011,38392
ARMADALE,2011,48044
ASHBURTON,2011,85391
AUGUSTA-MARGARET RIVER,2011,35609
BASSENDEAN,2011,49931
BAYSWATER,2011,47725
BELMONT,2011,48812
BEVERLEY,2011,34791
BODDINGTON,2011,62125
BOYUP BROOK,2011,35422
BRIDGETOWN-GREENBUSHES,2011,36405
BROOKTON,2011,37647
BROOME,2011,50692
BROOMEHILL-TAMBELLUP,2011,33107
BRUCE ROCK,2011,35377
BUNBURY,2011,45583
BUSSELTON,2011,38003
CAMBRIDGE,2011,60803
CANNING,2011,44811
CAPEL,2011,49567
CARNAMAH,2011,38115
CARNARVON,2011,42101
CHAPMAN VALLEY,2011,51895
CHITTERING,2011,42850
CLAREMONT,2011,57339
COCKBURN,2011,50633
COLLIE,2011,50318
COOLGARDIE,2011,68424
COOROW,2011,40402
CORRIGIN,2011,37369
COTTESLOE,2011,63747
CRANBROOK,2011,35205
CUBALLING,2011,36845
CUE,2011,36938
CUNDERDIN,2011,41335
DALWALLINU,2011,40053
DANDARAGAN,2011,37373
DARDANUP,2011,48088
DENMARK,2011,30118
DERBY-WEST KIMBERLEY,2011,45449
DONNYBROOK-BALINGUP,2011,37017
DOWERIN,2011,37356
DUMBLEYUNG,2011,30965
DUNDAS,2011,48702
EAST FREMANTLE,2011,57009
EAST PILBARA,2011,76754
ESPERANCE,2011,40203
EXMOUTH,2011,49197
FREMANTLE,2011,48949
GINGIN,2011,36006
GNOWANGERUP,2011,39675
GOOMALLING,2011,37188
GOSNELLS,2011,46680
GREATER GERALDTON,2011,47442
HALLS CREEK,2011,36096
HARVEY,2011,47297
IRWIN,2011,43470
JERRAMUNGUP,2011,35797
JOONDALUP,2011,49077
KALAMUNDA,2011,50056
KALGOORLIE/BOULDER,2011,59946
KARRATHA,2011,77079
KATANNING,2011,37835
KELLERBERRIN,2011,35616
KENT,2011,45303
KOJONUP,2011,35122
KONDININ,2011,30706
KOORDA,2011,22680
KULIN,2011,34003
KWINANA,2011,49140
LAKE GRACE,2011,37519
LAVERTON,2011,48166
LEONORA,2011,61852
MANDURAH,2011,42973
MANJIMUP,2011,35862
MEEKATHARRA,2011,44344
MELVILLE,2011,49505
MENZIES,2011,39108
MERREDIN,2011,45924
MINGENEW,2011,51008
MOORA,2011,42638
MORAWA,2011,48185
MOSMAN PARK,2011,53640
MOUNT MAGNET,2011,39437
MOUNT MARSHALL,2011,28440
MUKINBUDIN,2011,31028
MUNDARING,2011,48949
MURCHISON,2011,73006
MURRAY,2011,44227
NANNUP,2011,34573
NAREMBEEN,2011,28725
NARROGIN,2011,42149
NEDLANDS,2011,61759
NGAANYATJARRAKU,2011,20589
NORTHAM,2011,43722
NORTHAMPTON,2011,36071
NUNGARIN,2011,28221
