SECTOR,2016,2011,2006
"Agriculture, Forestry and Fishing",28612,26418,30847
Mining,72542,67941,40081
Manufacturing,64543,90374,88405
"Electricity, Gas, Water and Waste Services",13385,12563,9586
Construction,113457,111848,85123
Wholesale trade,29500,39062,37208
Retail Trade,110404,110758,104291
Accommodation and Food Services,74624,64795,54588
"Transport, Postal and Warehousing",53133,49762,39475
Information Media and Telecommunications,11449,11672,12436
Financial and Insurance Services,27242,27989,27144
"Rental, Hiring and Real Estate Services",20142,19069,18421
"Professional, Scientific and Technical Services",74144,79009,58904
Administrative and Support Services,37954,34328,29734
Public Administration and Safety,72278,68557,60043
Education and Training,100952,88090,71889
Health Care and Social Assistance,135898,113757,95162
Arts and Recreation Services,18464,14790,11628
Other Services,45855,42889,35708
Inadequately described or not stated,53142,24215,25473
