"Category","Western Australia MALES","Western Australia FEMALES","Australia MALES","Australia FEMALES"
"85 and over","-0.64","1.07","-0.77","1.31"
"80 to 84","-0.76","0.96","-0.87","1.10"
"75 to 79","-1.18","1.31","-1.31","1.48"
"70 to 74","-1.68","1.71","-1.84","1.95"
"65 to 69","-2.38","2.42","-2.48","2.60"
"60 to 64","-2.65","2.74","-2.70","2.85"
"55 to 59","-3.02","3.06","-3.03","3.18"
"50 to 54","-3.32","3.26","-3.20","3.31"
"45 to 49","-3.52","3.46","-3.30","3.45"
"40 to 44","-3.50","3.45","-3.32","3.44"
"35 to 39","-3.54","3.45","-3.30","3.37"
"30 to 34","-3.97","3.87","-3.59","3.69"
"25 to 29","-3.76","3.69","-3.52","3.59"
"20 to 24","-3.32","3.12","-3.40","3.30"
"15 to 19","-3.10","2.93","-3.11","2.97"
"10 to 14","-3.11","2.96","-3.07","2.90"
"5 to 9","-3.39","3.21","-3.29","3.13"
"0 to 4","-3.34","3.16","-3.21","3.05"
