LGA,Year,Income
ALBANY,2011-12,38392
ARMADALE,2011-12,48044
ASHBURTON,2011-12,85391
AUGUSTA-MARGARET RIVER,2011-12,35609
BASSENDEAN,2011-12,49931
BAYSWATER,2011-12,47725
BELMONT,2011-12,48812
BEVERLEY,2011-12,34791
BODDINGTON,2011-12,62125
BOYUP BROOK,2011-12,35422
BRIDGETOWN-GREENBUSHES,2011-12,36405
BROOKTON,2011-12,37647
BROOME,2011-12,50692
BROOMEHILL-TAMBELLUP,2011-12,33107
BRUCE ROCK,2011-12,35377
BUNBURY,2011-12,45583
BUSSELTON,2011-12,38003
CAMBRIDGE,2011-12,60803
CANNING,2011-12,44811
CAPEL,2011-12,49567
CARNAMAH,2011-12,38115
CARNARVON,2011-12,42101
CHAPMAN VALLEY,2011-12,51895
CHITTERING,2011-12,42850
CLAREMONT,2011-12,57339
COCKBURN,2011-12,50633
COLLIE,2011-12,50318
COOLGARDIE,2011-12,68424
COOROW,2011-12,40402
CORRIGIN,2011-12,37369
COTTESLOE,2011-12,63747
CRANBROOK,2011-12,35205
CUBALLING,2011-12,36845
CUE,2011-12,36938
CUNDERDIN,2011-12,41335
DALWALLINU,2011-12,40053
DANDARAGAN,2011-12,37373
DARDANUP,2011-12,48088
DENMARK,2011-12,30118
DERBY-WEST KIMBERLEY,2011-12,45449
DONNYBROOK-BALINGUP,2011-12,37017
DOWERIN,2011-12,37356
DUMBLEYUNG,2011-12,30965
DUNDAS,2011-12,48702
EAST FREMANTLE,2011-12,57009
EAST PILBARA,2011-12,76754
ESPERANCE,2011-12,40203
EXMOUTH,2011-12,49197
FREMANTLE,2011-12,48949
GINGIN,2011-12,36006
GNOWANGERUP,2011-12,39675
GOOMALLING,2011-12,37188
GOSNELLS,2011-12,46680
GREATER GERALDTON,2011-12,47442
HALLS CREEK,2011-12,36096
HARVEY,2011-12,47297
IRWIN,2011-12,43470
JERRAMUNGUP,2011-12,35797
JOONDALUP,2011-12,49077
KALAMUNDA,2011-12,50056
KALGOORLIE/BOULDER,2011-12,59946
KARRATHA,2011-12,77079
KATANNING,2011-12,37835
KELLERBERRIN,2011-12,35616
KENT,2011-12,45303
KOJONUP,2011-12,35122
KONDININ,2011-12,30706
KOORDA,2011-12,22680
KULIN,2011-12,34003
KWINANA,2011-12,49140
LAKE GRACE,2011-12,37519
LAVERTON,2011-12,48166
LEONORA,2011-12,61852
MANDURAH,2011-12,42973
MANJIMUP,2011-12,35862
MEEKATHARRA,2011-12,44344
MELVILLE,2011-12,49505
MENZIES,2011-12,39108
MERREDIN,2011-12,45924
MINGENEW,2011-12,51008
MOORA,2011-12,42638
MORAWA,2011-12,48185
MOSMAN PARK,2011-12,53640
MOUNT MAGNET,2011-12,39437
MOUNT MARSHALL,2011-12,28440
MUKINBUDIN,2011-12,31028
MUNDARING,2011-12,48949
MURCHISON,2011-12,73006
MURRAY,2011-12,44227
NANNUP,2011-12,34573
NAREMBEEN,2011-12,28725
NARROGIN,2011-12,42149
NEDLANDS,2011-12,61759
NGAANYATJARRAKU,2011-12,20589
NORTHAM,2011-12,43722
NORTHAMPTON,2011-12,36071
NUNGARIN,2011-12,28221
PEPPERMINT GROVE,2011-12,78945
PERENJORI,2011-12,40877
PERTH,2011-12,50151
PINGELLY,2011-12,32056
PLANTAGENET,2011-12,34162
PORT HEDLAND,2011-12,73645
QUAIRADING,2011-12,40487
RAVENSTHORPE,2011-12,44473
ROCKINGHAM,2011-12,50071
SANDSTONE,2011-12,48348
SERPENTINE-JARRAHDALE,2011-12,51985
SHARK BAY,2011-12,37455
SOUTH PERTH,2011-12,53325
STIRLING,2011-12,49267
SUBIACO,2011-12,61079
SWAN,2011-12,48115
TAMMIN,2011-12,36598
THREE SPRINGS,2011-12,38970
TOODYAY,2011-12,42488
TRAYNING,2011-12,34663
UPPER GASCOYNE,2011-12,56311
VICTORIA PARK,2011-12,48884
VICTORIA PLAINS,2011-12,34166
VINCENT,2011-12,51682
WAGIN,2011-12,38829
WANDERING,2011-12,52427
WANNEROO,2011-12,47299
WAROONA,2011-12,45018
WEST ARTHUR,2011-12,37921
WESTONIA,2011-12,42454
WICKEPIN,2011-12,36973
WILLIAMS,2011-12,37254
WILUNA,2011-12,39322
WONGAN-BALLIDU,2011-12,43840
WOODANILLING,2011-12,36481
WYALKATCHEM,2011-12,39843
WYNDHAM-EAST KIMBERLEY,2011-12,52600
YALGOO,2011-12,42081
YILGARN,2011-12,42053
YORK,2011-12,37103
ALBANY,2012-13,40386
ARMADALE,2012-13,51093
ASHBURTON,2012-13,95024
AUGUSTA-MARGARET RIVER,2012-13,35787
BASSENDEAN,2012-13,52491
BAYSWATER,2012-13,50664
BELMONT,2012-13,51642
BEVERLEY,2012-13,38466
BODDINGTON,2012-13,67010
