Date,People
Aug 1 2011,5.3
Sep 1 2011,5.2
Oct 1 2011,5.2
Nov 1 2011,5.2
Dec 1 2011,5.2
Jan 1 2012,5
Feb 1 2012,5.2
Mar 1 2012,5.2
Apr 1 2012,5
May 1 2012,5.2
Jun 1 2012,5.2
Jul 1 2012,5.2
Aug 1 2012,5.2
Sep 1 2012,5.5
Oct 1 2012,5.4
Nov 1 2012,5.3
Dec 1 2012,5.4
Jan 1 2013,5.4
Feb 1 2013,5.4
Mar 1 2013,5.6
Apr 1 2013,5.6
May 1 2013,5.6
Jun 1 2013,5.7
Jul 1 2013,5.6
Aug 1 2013,5.8
Sep 1 2013,5.7
Oct 1 2013,5.8
Nov 1 2013,5.8
Dec 1 2013,5.9
Jan 1 2014,5.9
Feb 1 2014,5.9
Mar 1 2014,5.9
Apr 1 2014,5.8
May 1 2014,5.9
Jun 1 2014,6
Jul 1 2014,6.2
Aug 1 2014,6.1
Sep 1 2014,6.2
Oct 1 2014,6.4
Nov 1 2014,6.3
Dec 1 2014,6.1
Jan 1 2015,6.4
Feb 1 2015,6.2
Mar 1 2015,6.1
Apr 1 2015,6.1
May 1 2015,5.9
Jun 1 2015,6
Jul 1 2015,6.3
Aug 1 2015,6.1
Sep 1 2015,6.1
Oct 1 2015,5.9
Nov 1 2015,5.9
Dec 1 2015,5.7
Jan 1 2016,6
Feb 1 2016,5.7
Mar 1 2016,5.7
Apr 1 2016,5.7
May 1 2016,5.7
Jun 1 2016,5.7
Jul 1 2016,5.7
Aug 1 2016,5.6
Sep 1 2016,5.6
Oct 1 2016,5.6
Nov 1 2016,5.8
Dec 1 2016,5.8
Jan 1 2017,5.7
Feb 1 2017,5.9
Mar 1 2017,5.9
Apr 1 2017,5.6
May 1 2017,5.5
Jun 1 2017,5.6
Jul 1 2017,5.6
Aug 1 2017,5.5
Sep 1 2017,5.4
Oct 1 2017,5.4
Nov 1 2017,5.4
Dec 1 2017,5.6
Jan 1 2018,5.5
Feb 1 2018,5.6
Mar 1 2018,5.6
Apr 1 2018,5.6
May 1 2018,5.4
Jun 1 2018,5.3
Jul 1 2018,5.3
Aug 1 2018,5.2
Sep 1 2018,5
Oct 1 2018,5
Nov 1 2018,5.1
Dec 1 2018,5
Jan 1 2019,5.1
Feb 1 2019,5
Mar 1 2019,5.1
Apr 1 2019,5.2
May 1 2019,5.2
Jun 1 2019,5.2
Jul 1 2019,5.2
Aug 1 2019,5.2
Sep 1 2019,5.2
Oct 1 2019,5.3
Nov 1 2019,5.2
Dec 1 2019,5
Jan 1 2020,5.3
Feb 1 2020,5.1
Mar 1 2020,5.3
Apr 1 2020,6.4
May 1 2020,7
Jun 1 2020,7.4
Jul 1 2020,7.4
Aug 1 2020,6.8
Sep 1 2020,6.9
Oct 1 2020,6.9
Nov 1 2020,6.8
Dec 1 2020,6.6
Jan 1 2021,6.4
Feb 1 2021,5.9
Mar 1 2021,5.7
Apr 1 2021,5.5
May 1 2021,5.1
Jun 1 2021,4.9
Jul 1 2021,4.6
Aug 1 2021,4.5
,
"Source: Australian Bureau of Statistics, Labour Force, Australia August 2021",
