LGA,Income
ALBANY,"44,489"
ARMADALE,"53,059"
ASHBURTON,"97,862"
AUGUSTA-MARGARET RIVER,"40,000"
BASSENDEAN,"55,928"
BAYSWATER,"52,156"
BELMONT,"52,284"
BEVERLEY,"47,565"
BODDINGTON,"67,025"
BOYUP BROOK,"42,438"
BRIDGETOWN-GREENBUSHES,"41,086"
BROOKTON,"49,057"
BROOME,"56,683"
BROOMEHILL-TAMBELLUP,"51,087"
BRUCE ROCK,"57,445"
BUNBURY,"47,482"
BUSSELTON,"42,659"
CAMBRIDGE,"66,887"
CANNING,"46,130"
CAPEL,"53,405"
CARNAMAH,"47,701"
CARNARVON,"44,728"
CHAPMAN VALLEY,"53,191"
CHITTERING,"51,746"
CLAREMONT,"61,947"
COCKBURN,"55,334"
COLLIE,"48,860"
COOLGARDIE,"65,366"
COOROW,"47,126"
CORRIGIN,"57,015"
COTTESLOE,"74,918"
CRANBROOK,"43,517"
CUBALLING,"44,386"
CUE,"31,601"
CUNDERDIN,"53,461"
DALWALLINU,"52,549"
DANDARAGAN,"42,129"
DARDANUP,"50,706"
DENMARK,"32,864"
DERBY-WEST KIMBERLEY,"48,257"
DONNYBROOK-BALINGUP,"38,563"
DOWERIN,"45,668"
DUMBLEYUNG,"59,652"
DUNDAS,"48,890"
EAST FREMANTLE,"62,240"
EAST PILBARA,"78,327"
ESPERANCE,"49,190"
EXMOUTH,"50,117"
FREMANTLE,"55,294"
GINGIN,"37,572"
GNOWANGERUP,"60,777"
GOOMALLING,"45,930"
GOSNELLS,"49,343"
GREATER GERALDTON,"51,331"
HALLS CREEK,"41,528"
HARVEY,"50,847"
IRWIN,"44,919"
JERRAMUNGUP,"51,546"
JOONDALUP,"53,753"
KALAMUNDA,"52,976"
KALGOORLIE/BOULDER,"67,751"
KARRATHA,"78,594"
KATANNING,"45,903"
KELLERBERRIN,"47,706"
KENT,"64,545"
KOJONUP,"47,399"
KONDININ,"51,370"
KOORDA,"39,379"
KULIN,"57,937"
KWINANA,"54,415"
LAKE GRACE,"58,754"
LAVERTON,"51,317"
LEONORA,"70,868"
MANDURAH,"47,165"
MANJIMUP,"39,104"
MEEKATHARRA,"52,948"
MELVILLE,"53,416"
MENZIES,"43,735"
MERREDIN,"52,250"
MINGENEW,"57,804"
MOORA,"52,223"
MORAWA,"47,044"
MOSMAN PARK,"61,500"
MOUNT MAGNET,"45,823"
MOUNT MARSHALL,"37,768"
MUKINBUDIN,"43,952"
MUNDARING,"51,846"
MURCHISON,"72,570"
MURRAY,"47,526"
NANNUP,"33,098"
NAREMBEEN,"53,820"
NARROGIN,"49,478"
NEDLANDS,"67,331"
NGAANYATJARRAKU,np
NORTHAM,"49,767"
NORTHAMPTON,"39,848"
NUNGARIN,"40,050"
PEPPERMINT GROVE,"90,486"
PERENJORI,"37,204"
PERTH,"53,450"
PINGELLY,"47,401"
PLANTAGENET,"40,742"
PORT HEDLAND,"83,516"
QUAIRADING,"56,316"
RAVENSTHORPE,"52,584"
ROCKINGHAM,"54,495"
SANDSTONE,"38,699"
SERPENTINE-JARRAHDALE,"55,810"
SHARK BAY,"38,960"
SOUTH PERTH,"57,248"
STIRLING,"53,300"
SUBIACO,"64,502"
SWAN,"53,060"
TAMMIN,"52,000"
THREE SPRINGS,"49,925"
TOODYAY,"46,602"
TRAYNING,"46,311"
UPPER GASCOYNE,"59,913"
VICTORIA PARK,"53,802"
VICTORIA PLAINS,"57,573"
VINCENT,"60,222"
WAGIN,"44,227"
WANDERING,"59,916"
WANNEROO,"51,659"
WAROONA,"48,022"
WEST ARTHUR,"50,636"
WESTONIA,"59,763"
WICKEPIN,"57,175"
WILLIAMS,"54,914"
WILUNA,"44,558"
WONGAN-BALLIDU,"50,332"
WOODANILLING,"48,732"
WYALKATCHEM,"49,054"
WYNDHAM-EAST KIMBERLEY,"56,800"
YALGOO,"35,564"
YILGARN,"57,067"
YORK,"44,186"
